REGION;NUMMR;ACHLR;AEMM;AEMMR;AGED;AGER20;AGEREV;AGEREVQ;ANAI;ANARR;ANEM;ANEMR;APAF;ARRIVR;ASCEN;BAIN;BATI;CATL;CATPC;CHAU;CHFL;CHOS;CLIM;CMBL;COUPLE;CS1;CS2;CS3;CUIS;DEPT;DEROU;DIPL;EAU;EGOUL;ELEC;EMPL;EPCI;ETUD;GARL;HLML;ILETUD;ILETUU;ILT;ILTUU;IMMI;INAI;INAT;INFAM;INPER;INPERF;IPONDI;IRAN;IRANUU;LIENF;LPRF;LPRM;METRODOM;MOCO;MODV;NA38;NA88;NAF08;NAIDT;NAT13;NAT49;NATC;NATN12;NATN49;NATNC;NBPI;NPERR;NUMF;ORIDT;PNAI12;PROF;RECH;SANI;SANIDOM;SEXE;SFM;STAT;STAT_CONJ;STOCD;SURF;TACT;TACTD16;TP;TRANS;TYPC;TYPFC;TYPL;TYPMD;TYPMR;UR;VOIT;WC
01;9;4;2011;9;005;05;004;000;2011;Z;005;02;3;Z;1;1;4;1;0;2;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;1;1;1;3;Z;Z;2;1;21;1;2;2;2.42708113814558;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;12;CAR;6;ZZ;ZZZ;Z;02;2;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;2;23;230;Z;Z;3;1;2;211;32;1;0;1
01;10;5;2014;9;008;10;007;005;2012;Z;006;02;3;Z;2;1;4;1;0;1;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;1;3;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;4;23;230;Z;Z;3;1;2;212;32;1;1;1
01;10;5;2014;9;009;10;008;005;2011;Z;006;02;3;Z;2;1;4;1;0;1;Z;2;1;Z;2;8;82;85;1;99;0;ZZ;2;1;1;ZZ;999999999;1;2;1;1;3;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;Z;Z;11;1;22;ZZ;6;22;4;23;230;Z;Z;3;1;2;212;32;1;1;1
01;10;5;2014;9;026;29;026;025;1994;Z;006;02;2;Z;2;1;4;1;0;1;Z;2;1;Z;2;8;82;85;1;99;0;12;2;1;1;ZZ;999999999;2;2;1;Z;Z;Z;Z;2;1;11;1;3;3;2.73502650312144;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;04;3;1;11;01;ZZZZ;9;Z;11;2;22;ZZ;6;22;4;25;250;Z;Z;3;1;2;212;32;1;1;1
01;11;6;2016;9;043;54;042;040;1977;1;004;01;0;9;2;1;4;1;0;1;Z;2;2;Z;2;2;22;22;1;99;0;16;2;2;1;21;999999999;2;2;2;Z;Z;1;3;1;6;21;0;2;Z;3.1755353807746;1;3;0;0;1;D;31;60;GZ;47;4778C;30;12;AOC;5;ZZ;ZZZ;Z;02;2;Z;00;12;223E;Z;Z;11;1;70;21;6;21;5;11;111;1;5;3;Z;1;030;20;1;1;1
01;11;6;2016;9;034;39;033;030;1986;1;004;01;0;9;2;1;4;1;0;1;Z;2;2;Z;2;8;82;85;1;99;0;16;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;1;6;21;0;2;Z;3.1755353807746;1;3;0;0;8;D;31;60;ZZ;ZZ;ZZZZZ;30;12;AOC;5;ZZ;ZZZ;Z;02;2;Z;00;12;ZZZZ;0;Z;11;1;70;ZZ;6;21;5;25;250;Z;Z;3;Z;1;030;20;1;1;1
01;12;5;2002;9;065;64;064;060;1952;Z;015;03;2;Z;2;1;4;1;0;2;Z;2;2;Z;1;7;76;77;1;99;0;13;1;1;1;ZZ;999999999;2;1;2;Z;Z;Z;Z;2;1;11;1;2;2;2.49952520134458;1;3;2;2;2;D;21;40;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;2;1;11;01;ZZZZ;0;Z;11;2;30;ZZ;1;10;6;21;210;Z;Z;1;2;1;500;44;1;2;1
01;12;5;2002;9;069;79;068;065;1948;Z;015;03;1;Z;2;1;4;1;0;2;Z;2;2;Z;1;7;76;77;1;99;0;13;1;1;1;ZZ;999999999;2;1;2;Z;Z;Z;Z;2;1;11;1;2;2;2.49952520134458;1;3;1;1;1;D;21;40;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;2;1;11;01;ZZZZ;0;Z;11;1;30;ZZ;1;10;6;21;210;Z;Z;1;2;1;500;44;1;2;1
01;13;5;1991;8;061;64;060;060;1957;Z;027;04;3;Z;2;1;4;1;0;2;Z;2;2;Z;2;8;82;86;1;99;0;14;2;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;2;2;2.50825348163246;1;3;3;3;3;D;12;12;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;03;2;1;11;01;ZZZZ;0;Z;11;1;22;ZZ;6;10;3;25;250;Z;Z;1;1;1;211;32;1;0;1
01;13;5;1991;8;091;80;090;090;1927;Z;027;04;2;Z;2;1;4;1;0;2;Z;2;2;Z;2;7;76;78;1;99;0;11;2;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;2;2;2.50825348163246;1;3;2;1;1;D;23;33;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;03;2;1;11;01;ZZZZ;0;Z;11;2;22;ZZ;4;10;3;21;210;Z;Z;1;1;1;211;32;1;0;1
